model,attack,base_class,target_class,epochs,lr,poison_num,epsilon,poison_num.1,watermark_opacity,step_size,iterations,n_runs,n_success,asr,clean_acc_mean,poisoned_acc_mean
model_cifar10_lr0.001_30epochs,fc,2,0,20,0.1,60,0.05,60,0.2,0.01,4000,5,1,0.2,0.7641,0.6879800000000001
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.03,30,0.0,0.01,2000,5,1,0.2,0.7641,0.67034
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.03,30,0.2,0.01,2000,5,1,0.2,0.7641,0.6889399999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,30,0.05,30,0.2,0.01,2000,5,1,0.2,0.7641,0.69422
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.01,60,0.0,0.01,4000,5,1,0.2,0.7641,0.6906800000000001
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.03,60,0.0,0.01,4000,5,1,0.2,0.7641,0.6854199999999999
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.03,60,0.2,0.01,4000,5,1,0.2,0.7641,0.68442
model_cifar10_lr0.001_30epochs,fc,5,3,20,0.1,60,0.05,60,0.0,0.01,2000,5,1,0.2,0.7641,0.69904
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.01,30,0.2,0.01,2000,5,1,0.2,0.7641,0.6868799999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.01,30,0.2,0.01,4000,5,1,0.2,0.7641,0.7013999999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.03,30,0.2,0.01,2000,5,1,0.2,0.7641,0.6858599999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,30,0.05,30,0.2,0.01,2000,5,1,0.2,0.7641,0.69508
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.01,60,0.0,0.01,2000,5,1,0.2,0.7641,0.66828
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.01,60,0.2,0.01,4000,5,1,0.2,0.7641,0.6850399999999999
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.03,60,0.0,0.01,4000,5,1,0.2,0.7641,0.68348
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.05,60,0.0,0.01,2000,5,1,0.2,0.7641,0.67628
model_cifar10_lr0.001_30epochs,fc,7,4,20,0.1,60,0.05,60,0.0,0.01,4000,5,1,0.2,0.7641,0.69508
